Date,Price,Geo_lat,Geo_lon,Building_type
2018-07-12,2900000,56.334567,38.142952,3
2018-07-13,1350000,57.6215477,39.8977411,3
2018-07-13,2600000,46.6861046,38.2920057,3
2018-07-16,7101000,59.8513073,30.0216431,3
2018-07-17,3900000,56.0666344,37.3794319,4
2018-07-17,6990000,55.7238127,37.4347638,3
2018-07-19,1000000,56.874725,53.239742,3
2018-07-20,3300000,47.1383299,39.7507179,3
2018-07-22,1590000,47.2745017,38.9277634,3
2018-07-22,5500000,55.4951868,37.5543618,2
2018-07-26,2050000,55.10736,61.616595,3
2018-07-26,1950000,56.6496542,47.897717,3
2018-07-27,1350000,56.7990297,59.9012546,1
2018-07-27,2430000,45.0648634,39.0371658,2
2018-07-27,2400000,43.504688,43.627886,3
2018-07-27,2700000,47.2367538,39.8040792,3
2018-07-27,1320000,54.1864545,45.1459586,3
2018-07-29,4000000,56.7607948,60.701983,1
2018-07-29,6390000,59.9230199,30.4489763,1
2018-07-30,8280000,59.919874,30.371959,2
2018-07-30,3700000,55.3999414,37.768844,1
2018-07-31,3150000,58.631363,59.7853588,4
2018-07-31,1980000,59.454253,29.5000055,1
2018-07-31,5800000,60.022958,30.370369,2
2018-07-31,2991978,59.7009509,30.3958856,1
2018-08-01,2600000,56.1205946,93.331962,1
2018-08-01,2350000,43.4923108,43.5935978,3
2018-08-01,10499000,55.8863052,37.4326773,1
2018-08-02,2600000,57.6073975,39.8395594,3
2018-08-03,3100000,56.3062548,38.1502661,3
2018-08-03,2220000,53.3354981,83.7882999,3
2018-08-03,1250000,56.7439851,38.881941,3
2018-08-03,1150000,45.084112,39.020193,3
2018-08-03,2400000,44.0289752,43.0534628,3
2018-08-04,5969650,55.6968448,37.9073245,1
2018-08-04,8677850,55.915306,37.720106,2
2018-08-04,4235680,55.6968448,37.9073245,1
2018-08-04,5904800,55.6968448,37.9073245,1
2018-08-04,8806100,55.87287,37.59311,1
2018-08-04,5399940,55.7029452,37.8871138,1
2018-08-07,3600000,55.8257648,49.0725279,3
2018-08-08,2420000,56.109963,92.913702,3
2018-08-08,2650000,58.234476,68.274701,1
2018-08-08,13700000,55.6388284,37.5384822,1
2018-08-09,3100000,43.48278,43.574858,3
2018-08-10,10272240,59.9391313,30.3159004,2
2018-08-10,4100000,59.9305317,30.6205086,1
2018-08-11,3500000,47.23871,39.8082432,3
2018-08-12,2750000,60.0393986,30.4494963,3
2018-08-12,1950000,56.2318163,43.4362229,3
2018-08-13,4458000,55.5396746,37.7167903,1
2018-08-13,6332000,55.5633379,37.851372,2
2018-08-13,5158890,55.7485953,37.9252958,2
2018-08-13,3750000,55.5774674,38.2052556,3
2018-08-13,3690000,55.5774674,38.2052556,2
2018-08-14,9500000,55.629221,37.518542,1
2018-08-14,2730000,55.7659045,52.4191332,1
2018-08-14,3445000,43.403842,40.003363,2
2018-08-15,2700000,59.5717476,30.1194336,3
2018-08-16,1200000,53.087794,91.410785,1
2018-08-16,6800000,55.6832456,37.8689023,1
2018-08-18,3750000,55.4115543,36.7162291,3
2018-08-22,1200000,56.9086605,59.942029,1
2018-08-23,4200000,45.053582,39.031826,3
2018-08-23,2550000,45.026138,39.018226,3
2018-08-23,2100000,56.493675,38.181607,1
2018-08-23,1350000,44.7689895,39.8649958,3
2018-08-25,2960000,45.063699,39.036884,1
2018-08-25,2600000,54.1709324,45.1423289,3
2018-08-26,2550000,45.133927,39.008272,3
2018-08-26,1110000,53.5292897,49.17818,4
2018-08-27,2850000,44.99311,39.068316,2
2018-08-27,2160000,55.8116984,49.195913,3
2018-08-27,2500000,55.7649561,38.4460706,1
2018-08-27,4368880,55.7042711,37.9420436,1
2018-08-27,1750000,43.9172201,42.7080805,3
