date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id,time,region
2021-01-01,2190000,10,10,2,80.2,16.0,43.4734542,43.5750415,5,0,360030.0,350841.0,7.0,867686.0,,
2021-01-01,3899000,5,5,3,66.1,9.0,55.9072587,38.0579851,2,0,141103.0,446284.0,50.0,2679689.0,,
2021-01-01,1000000,1,1,3,68.0,11.0,45.4923847,42.1332456,4,0,356180.0,343628.0,26.0,1988099.0,,
2021-01-01,3450000,4,6,3,62.0,9.0,57.1512483,65.5889695,4,0,625048.0,136462.0,72.0,2629384.0,,
2021-01-01,5450000,2,17,2,54.7,17.1,44.6831175,37.7800038,3,0,353924.0,246582.0,23.0,2178236.0,,
2021-01-01,2050000,5,5,2,46.0,0.0,43.024408,44.6619571,2,0,362003.0,290898.0,15.0,1186513.0,,
2021-01-01,4000000,3,3,2,61.3,15.0,44.7386846,37.7136681,3,0,353960.0,439378.0,23.0,1213340.0,,
2021-01-01,1860000,3,5,3,58.2,7.0,48.8472148,44.5560462,4,0,400058.0,420205.0,34.0,1821881.0,,
2021-01-01,4200000,6,10,4,120.0,20.0,42.9671407,47.5354944,3,0,367007.0,540675.0,5.0,1654926.0,,
2021-01-01,1500000,2,5,2,55.2,9.3,45.9574372,33.7996991,5,0,296000.0,445921.0,91.0,1439532.0,,
2021-01-01,5970000,7,10,2,51.7,8.9,56.2911642,43.9116968,2,0,603034.0,337428.0,52.0,2003626.0,,
2021-01-01,4200000,12,25,-1,25.8,-100.0,60.0368892,30.2261228,3,2,190000.0,291085.0,78.0,2484205.0,,
2021-01-01,2600000,1,5,1,30.0,6.0,44.6993312,37.7831112,2,0,353923.0,226112.0,23.0,2608554.0,,
2021-01-01,7100000,3,16,3,78.1,12.3,52.2667892,104.3265025,3,0,664081.0,492098.0,38.0,2552545.0,,
2021-01-01,1750000,11,14,1,38.0,12.6,51.822302,55.174318,2,0,460060.0,,56.0,,,
2021-01-01,11340000,2,5,3,130.0,16.7,54.754511,55.996573,4,0,450058.0,222600.0,2.0,1465817.0,,
